model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
CatBoost,0.46,0.9925978067161636,0.6124401913875598,0.019184652278177457,0.9999088179770423,0.037203894782735066,0.8439528729654308,0.09477537081883369,128,81,888252,6544,209,0.00023351824850140502,0.019093470255219902
CatBoost,0.465,0.9925978067161636,0.6169154228855721,0.01858513189448441,0.9999133207929909,0.03608322421067947,0.8439528729654308,0.09477537081883369,124,77,888256,6548,201,0.000224579750951112,0.01849845268747541
CatBoost,0.47,0.9925989240283574,0.625,0.017985611510791366,0.9999189493129266,0.03496503496503496,0.8439528729654308,0.09477537081883369,120,72,888261,6552,192,0.00021452394120703236,0.01790456082371783
CatBoost,0.475,0.9925978067161636,0.6256684491978609,0.01753597122302158,0.9999212007209008,0.03411576031491471,0.8439528729654308,0.09477537081883369,117,70,888263,6555,187,0.00020893738023809922,0.01745717194392249
CatBoost,0.48,0.9925978067161636,0.6284153005464481,0.01723621103117506,0.9999234521288751,0.03355215171407731,0.8439528729654308,0.09477537081883369,115,68,888265,6557,183,0.00020446813146295271,0.01715966316005013
CatBoost,0.485,0.9926000413405511,0.6368715083798883,0.0170863309352518,0.9999268292408365,0.033279813165961174,0.8439528729654308,0.09477537081883369,114,65,888268,6558,179,0.0001999988826878062,0.017013160176088338
CatBoost,0.49,0.9925966894039698,0.6337209302325582,0.01633693045563549,0.9999290806488107,0.031852717708942144,0.8439528729654308,0.09477537081883369,109,63,888270,6563,172,0.00019217769733129983,0.016266011104446143
CatBoost,0.495,0.9925866335942257,0.6149068322981367,0.014838129496402877,0.9999302063527978,0.028977023269427776,0.8439528729654308,0.09477537081883369,99,62,888271,6573,161,0.00017988726319964694,0.014768335849200787
CatBoost,0.5,0.992585516282032,0.6153846153846154,0.014388489208633094,0.9999324577607721,0.0281195079086116,0.8439528729654308,0.09477537081883369,96,60,888273,6576,156,0.0001743007022307138,0.014320946969405224
CatBoost,0.505,0.9925832816576444,0.6118421052631579,0.01393884892086331,0.9999335834647592,0.027256740914419698,0.8439528729654308,0.09477537081883369,93,59,888274,6579,152,0.0001698314534555673,0.013872432385622524
CatBoost,0.51,0.9925810470332568,0.6111111111111112,0.013189448441247002,0.9999369605767207,0.025821596244131453,0.8439528729654308,0.09477537081883369,88,56,888277,6584,144,0.00016089295590527428,0.013126409017967688
CatBoost,0.515,0.9925788124088692,0.6086956521739131,0.012589928057553957,0.9999392119846949,0.02466960352422907,0.8439528729654308,0.09477537081883369,84,54,888279,6588,138,0.0001541890827425545,0.01252914004224892
CatBoost,0.52,0.9925788124088692,0.6119402985074627,0.012290167865707434,0.9999414633926692,0.024096385542168672,0.8439528729654308,0.09477537081883369,82,52,888281,6590,134,0.000149719833967408,0.012231631258376563
CatBoost,0.525,0.9925765777844816,0.6076923076923076,0.011840527577937649,0.9999425890966563,0.023228462216995,0.8439528729654308,0.09477537081883369,79,51,888282,6593,130,0.0001452505851922615,0.011783116674594085
CatBoost,0.53,0.9925721085357065,0.5983606557377049,0.010941247002398081,0.9999448405046306,0.02148954960259052,0.8439528729654308,0.09477537081883369,73,49,888284,6599,122,0.00013631208764196848,0.010886087507028686
CatBoost,0.535,0.9925698739113189,0.5948275862068966,0.010341726618705036,0.9999470919126049,0.020329994107248086,0.8439528729654308,0.09477537081883369,69,47,888286,6603,116,0.00012960821447924873,0.010288818531309918
CatBoost,0.54,0.9925676392869314,0.5892857142857143,0.009892086330935251,0.999948217616592,0.01945754716981132,0.8439528729654308,0.09477537081883369,66,46,888287,6606,112,0.00012513896570410222,0.009840303947527218
CatBoost,0.545,0.9925687565991251,0.6,0.009442446043165468,0.9999527204325405,0.01859229747675963,0.8439528729654308,0.09477537081883369,63,42,888291,6609,105,0.00011731778034759583,0.00939516647570593
CatBoost,0.55,0.9925665219747376,0.5959595959595959,0.008842925659472423,0.9999549718405147,0.017427263328902674,0.8439528729654308,0.09477537081883369,59,40,888293,6613,99,0.00011061390718487607,0.008797897499987162
CatBoost,0.555,0.9925687565991251,0.6082474226804123,0.008842925659472423,0.999957223248489,0.017432412468606887,0.8439528729654308,0.09477537081883369,59,38,888295,6613,97,0.00010837928279730281,0.008800148907961436
CatBoost,0.56,0.99256428735035,0.5955056179775281,0.007943645083932853,0.9999594746564633,0.015678154119213132,0.8439528729654308,0.09477537081883369,53,36,888297,6619,89,9.944078524700979e-05,0.007903119740396036
CatBoost,0.565,0.9925620527259624,0.5882352941176471,0.00749400479616307,0.9999606003604504,0.014799467219180112,0.8439528729654308,0.09477537081883369,50,35,888298,6622,85,9.497153647186328e-05,0.0074546051566135585
CatBoost,0.57,0.9925665219747376,0.6172839506172839,0.00749400479616307,0.999965103176399,0.014808233377758035,0.8439528729654308,0.09477537081883369,50,31,888302,6622,81,9.050228769671677e-05,0.007459107972562107
CatBoost,0.575,0.9925654046625438,0.6153846153846154,0.007194244604316547,0.9999662288803861,0.014222222222222225,0.8439528729654308,0.09477537081883369,48,30,888303,6624,78,8.71503511153569e-05,0.007160473484702612
CatBoost,0.58,0.9925665219747376,0.6301369863013698,0.006894484412470024,0.9999696059923474,0.013639733135656041,0.8439528729654308,0.09477537081883369,46,27,888306,6626,73,8.156379014642376e-05,0.006864090404817391
CatBoost,0.585,0.9925631700381562,0.6176470588235294,0.006294964028776978,0.9999707316963345,0.012462908011869436,0.8439528729654308,0.09477537081883369,42,26,888307,6630,68,7.597722917749063e-05,0.006265695725111486
